id,title,difficulty,portion,time,description,ingredients0,ingredients1,ingredients2,ingredients3,ingredients4,ingredients5,ingredients6,ingredients7,ingredients8,ingredients9,ingredients10,ingredients11,ingredients12,image,Step1,Step2,Step3,Step4,Step5,Step6
11,Platinum Jubilee gin punch,Easy,Serves 10; makes about 2 litres,"10 minutes hands-on time, plus 30 minutes steeping.","A knockout punch to celebrate the Queen’s unprecedented reign. This summery cocktail is made with gin, an easy Earl Grey syrup, elderflower and nectarine. Cheers, your Majesty!",200g caster sugar,300ml water,4 Earl Grey tea bags,500ml gin,75ml elderflower cordial,1 litre soda water,Juice of 3 lemons,1-2 tsp Angostura bitters,"1 lemon, cut into wedges","4 nectarines, cored and sliced",Edible flowers (to serve),,,https://apipics.s3.amazonaws.com/coctails_api/11.jpg,"Heat the sugar and 300ml water in a pan, stirring, until the sugar dissolves. Bring to the boil, take off the heat, add the Earl Grey tea bags, then steep for 30 minutes. Squeeze the bags, then discard","Pour the cooled syrup into a bowl with the gin, elderflower cordial, soda water, lemon juice and Angostura bitters to taste. Stir in the lemon wedges, sliced nectarines and lots of ice. Adjust to taste and scatter with edible flowers before serving.",,,,
12,Pink Gibson cocktail,Medium,Serves 2,"5 minutes, plus pickling time","This Pink Gibson cocktail recipe comes from the swanky new Hawksmoor-owned bar The Lowback, in London’s Canary Wharf. If you are a fan of martinis (and Pickled Onion Monster Munch), this is the drink for you.",100ml vodka,25ml Audemus Umami Gin (see Tips),20ml dry vermouth,"15ml pink pickle juice (if you don’t want to make this, 10ml of brine from the cocktail onions will be fine, you’ll just lose the colour)",50ml water,"4 cocktail onions, to serve",150ml rice vinegar,75g caster sugar,2.5g salt,"½ red onion, sliced",,,,https://apipics.s3.amazonaws.com/coctails_api/12.jpg,Make the pink pickle juice by heating up rice vinegar with caster sugar and salt until dissolved. Pour over the sliced red onion and leave for 3-4 hours (until the liquid is bright pink) strain the onion off (see Tips) and keep the liquid in a bottle in the fridge),"Put all ingredients into a bottle or tupperware container. Cover and place in the freezer for 60-90 minutes. Pour into chilled martini glasses, and garnish with two cocktail onions on a toothpick.",,,,
13,Rhubarb and ginger cocktail,Easy,Serves 1,Hands-on time 5 min.,"Celebrate spring’s arrival with a rhubarb and ginger cocktail. This zesty, springy creation is made with rhubarb gin, ginger wine and lemon.",50ml rhubarb gin (we used Warner’s),"25ml triple sec (orange liqueur, such as Cointreau)",20ml Stone’s ginger wine,20ml lemon juice,Ice,Rosemary sprig,Edible flower (optional),,,,,,,https://apipics.s3.amazonaws.com/coctails_api/13.jpg,"Put the rhubarb gin, triple sec, ginger wine and lemon juice in a cocktail shaker, mixing glass or jug. Add ice, stir well, then strain into a cocktail glass. Add a rosemary sprig and, if you like, an unsprayed edible spring flower.",,,,,
14,Jerry Thomas Manhattan,Easy,Makes 1,Hands-on time 5 min,"From the bar of London’s much-loved brasserie Joe Allen comes this twist on a classic Manhattan, first made in 1884 by America’s cocktail godfather Jerry Thomas.",1 Luxardo maraschino cherry,50ml rye whiskey (or bourbon),15ml Grand Marnier (or other orange liqueur),25ml Carpano Antica Formula vermouth (or a good sweet vermouth),3 dashes of bitters (such as Angostura),,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/14.jpg,"Chill a martini glass or other elegant glass, then put the maraschino cherry in it. Pour the rye whiskey, Grand Marnier, vermouth and the 3 dashes of bitters into a shaker/jug. Add ice, stir, then strain into the glass.",,,,,
15,Hibiscus and kombucha sparkling mocktail,Easy,Serves 6,Hands-on time 10 min,"Stir up a refreshing kombucha mocktail with our easy recipe. This sparkling concoction has a gorgeous pink hue, thanks to the hibiscus.",3 tbsp simple syrup (buy Monin or see Know-how),2 tbsp hibiscus powder (from Waitrose or Amazon – or buy dried hibiscus from a health food shop and grind it),"Juice 3 limes, plus slices to garnish","Juice 2 ruby grapefruit, plus thin wedges to garnish",Chunky ice cubes to serve,"2 x 275ml bottles kombucha, tonic or non-alcoholic fizz",,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/15.jpg,"Combine the syrup, hibiscus powder, lime and grapefruit juice in a jug. Pour into tumblers over ice, then top up with kombucha (or other fizz) and serve.",,,,,
16,Fifth Avenue daiquiri,Easy,Makes 1,Hands-on time 5 mins,Shake up your cocktail game with a Fifth Avenue daiquiri. This heady take on a rum-based classic comes from Claridges. Serve chilled. Recipe from Claridge’s: The Cocktail Book (Mitchell Beazley £25).,40ml Bacardí Ron Superior Heritage Limited Edition (or any good white rum),15ml Graham’s 10-year-old tawny port,10ml Lustau pedro ximénez sherry,15ml lemon juice,½ tsp (1 bar spoon) caster sugar,1 dash of Peychaud’s bitters,Ice cubes,Chilled coupe glass,,,,,,https://apipics.s3.amazonaws.com/coctails_api/16.jpg,"In a cocktail shaker, shake the rum, port, sherry, lemon juice, caster sugar and dash of bitters with ice cubes. Fine-strain into a chilled coupe glass.",,,,,
17,Sherry spritz,Easy,Serves 1,Hands-on time 5 min,"Rustle up a fragrant Christmas cocktail with our easy sherry spritz recipe. Combine creamy sherry and ginger syrup, then top with cava.",3 tbsp cream sherry,1 tbsp ginger syrup,Ice,Twist of orange,Cava (to top up),,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/17.jpg,"Put the cream sherry (vegan if you need it to be) and 1 tbsp ginger syrup in an ice-filled glass, then stir to chill. Add a twist of orange, then top up with cava.",,,,,
18,Large espresso martini for a crowd,Easy,Serves 6,Hands-on time 10 minutes,"What a way to start an evening! This easy espresso martini recipe makes a batch, meaning you can just whizz or shake over ice to serve. It’s sure to be a crowdpleaser at your next cocktail do.",300ml vodka,"210ml coffee liqueur, such as Kahlúa, Tia Maria or coffee tequila",150ml freshly brewed espresso coffee,A few handfuls of ice,Coffee beans to serve (optional),,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/18.jpg,"Put the vodka, coffee liqueur and espresso in a large jug/pitcher with the ice, then stir with a long-handled spoon to chill the mixture.","Strain the cocktail into a blender, discarding the ice, then whizz to create the all-important frothy crema on top. Strain into glasses, and, if you like, float 3 coffee beans on the surface of each.",,,,
19,Pornstar martini,Easy,Serves 1,Hands-on time 5 minutes,"A pornstar martini is one of the nation’s most popular cocktails and it’s easy to see why: bursting with fruity passion fruit and fully of bubbles, it’s a perfect tipple for a celebration.",35ml vodka,1 tbsp Passoã passion fruit liqueur,2 tsp rich vanilla syrup (see Tips),2 ripe passion fruit,Ice,"Prosecco to top up glass, plus 50ml extra to serve",,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/19.jpg,"Put the vodka, passion fruit liqueur, syrup and the pulp from 1 passion fruit in a shaker with ice. Shake well, then strain into a coupe glass. Top up with prosecco, then float half a passion fruit on top and serve with the 50ml prosecco in a small glass on the side.",,,,,
20,Whisky sour,Medium,Serves 1,Hands-on time 5 minutes,"For a classic whisky cocktail that packs a punch, try our whisky sour recipe. The lemon brings a hit of zing that goes so well with the whisky. See our tip below for hot to make sugar syrup.","50ml whisky (scotch, Irish whiskey or bourbon)",25ml lemon juice,1 tbsp rich sugar syrup,1 medium free-range egg white (or 35ml pasteurised egg white),Dash Angostura bitters,Ice,Lemon slice and cocktail/maraschino cherry to serve,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/20.jpg,"Put all the ingredients except the ice and garnish in a cocktail shaker. Shake for 30 seconds, then add a handful of ice.","Shake for a minute to chill, then strain into a lowball (short) glass filled with fresh ice (or forgo the ice for a stronger drink). Garnish with the lemon and cherry, secured together on a cocktail stick.",,,,
21,Negroni sbagliato (negroni spritz),Easy,Serves 1,Hands-on time 5 min,"Start a meal the Italian way with this negroni sbagliato (literally translates as “mistaken” negroni), made with prosecco in place of gin.",Ice,25ml Campari,25ml sweet vermouth,Prosecco for topping up,Orange slice or strip of orange zest to serve,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/21.jpg,"Fill a short tumbler with ice. Add the Campari and vermouth, then add prosecco. Stir to combine, then top up with more prosecco and garnish with a twist of orange zest or a slice of orange.",,,,,
22,Frozen mango margarita,Easy,Serves 1,"Hands-on time 5 min, plus infusing time","This easy frozen mango margarita has a chilli kick thanks to homemade, jalapeno-infused tequila. Use ordinary tequila with a dash of chilli powder, if you’d prefer. The perfect slushie for barbecues and summer parties.","160ml jalapeño infused tequila (see below), or regular tequila and a pinch of chilli powder",150g frozen mango chunks,"50ml fresh orange juice, plus extra to coat","30ml orange liqueur (Grand Marnier, Cointreau or Triple Sec)","Juice 1 lime, plus a little extra to coat",Handful crushed ice,"Fresh jalapeño, thinly sliced, to serve (optional)",350ml good quality tequila,"1 fresh jalapeño chilli, sliced",1 wide strip lime zest,1 tsp chilli powder (we used smoked),1 tsp fine sea salt,,https://apipics.s3.amazonaws.com/coctails_api/22.jpg,"Start by infusing the tequila, if you’re making it. Put the cut chilli in a clean 500ml capacity jar. Add the sliced jalapeño, put the lid on and set aside at room temperature to infuse for at least 12 hours or up to 1 week depending on how spicy you like it. Pour the infused tequila through a muslin lined sieve set over a clean jug. Discard the chilli and zest.","To make the margarita, put all the drink ingredients (except the fresh jalapeño) in a blender and whizz to a smooth slushy consistency.","To serve, coat the rim of a glass with a little lime juice (put the glass in the freezer for 30 minutes beforehand if you like it extra chilled). Stir together the chilli powder and salt on a flat plate. Dip the moistened rim of the glass into the salt mix and tap to remove any excess. Scoop the mango margarita mix into the prepared glass and serve topped with jalapeño slices, if you like.",,,
23,Raspberry margarita,Easy,Serves 1,"Hands on time 10 min, plus cooling time",Learn how to make a raspberry margarita with our easy cocktail recipe. Tequila and Grand Marnier are served over ice with homemade raspberry syrup and a touch of lime.,60ml good quality tequila,45ml raspberry syrup (see below),"30ml orange liqueur (Grand Marnier, Cointreau or Triple Sec)","1 cup crushed ice, plus extra to serve (optional)",3-4 fresh raspberries to serve,150g raspberries (fresh or frozen),100g granulated sugar,50ml water,Juice 1 lime,Dash raspberry syrup,1 tbsp freeze-dried raspberry powder,2 tbsp caster sugar,,https://apipics.s3.amazonaws.com/coctails_api/23.jpg,"For the raspberry syrup, combine the raspberries, sugar and water in a small pan and cook over a medium heat, stirring regularly until the sugar dissolves and the raspberries start to break down. Bring to a boil, then strain into a small bowl. Stir in the lime juice and leave to cool, then chill in the fridge until needed.","To make the margarita, put the crushed ice in a cocktail shaker, then pour in the tequila, raspberry syrup and Grand Marnier. Secure the lid and shake vigorously for 1 minute.","To serve, coat the rim of a glass with a little raspberry syrup. Stir together the raspberry powder and sugar on a flat plate. Dip the moistened rim of the glass into the sugar mix and tap to remove excess coating. Fill a glass with fresh crushed ice, the whole raspberries and a little extra raspberry syrup. Strain the margarita into the prepared glass and serve.",,,
24,Lemon verbena and vanilla cordial,Easy,Makes about 650ml cordial (14-15 servings),"Hands-on time 20 min, plus cooling","This homemade cordial for grown-ups uses herbs, lemon verbena, lemon juice and edible flowers to create a sophisticated cooler for spring and summer days.",1 vanilla pod,250g caster sugar,"8g dried lemon verbena leaves, plus extra fresh leaves to serve (see tips)",350ml lemon juice (juice from 8-10 lemons),"Lemon slices, edible flowers, ice cubes (see tips) and chilled sparkling water or sparkling wine to serve","700-750ml bottle with a lid, sterilised",,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/24.jpg,"Slit the vanilla pod lengthways and scrape out the seeds. Put the pod and seeds in a pan with the sugar and 250ml water, then gently heat to dissolve the sugar.","Bring to the boil and bubble for 2 minutes, then take off the heat and add the dried verbena leaves. Stir, then steep for 10 minutes. Strain the syrup through a sieve into a clean pan (discard the solids), add the lemon juice and put over a medium heat. Bring to the boil and simmer for 1 minute. Pour the syrup into the bottle, cool for about 30 minutes, then seal. (see Make Ahead).","To serve, put lemon slices, ice cubes (see Expert Touch), edible flowers and verbena leaves in each glass, add 3 tbsp cordial, then top up with sparkling water or sparkling wine.",,,
25,Whisky Aperol hot toddy,Easy,4,Hands-on time 5 min,"Cold nights call for warming cocktails. This whisky Aperol hot toddy with Aperol, whisky and sweet spices is an easy (and easily drinkable) cocktail.",100ml whisky,60ml Aperol,2 tsp clear honey,Orange slices to garnish,4 cinnamon sticks,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/25.jpg,"Combine the whisky, Aperol and honey in a heatproof jug and pour in 300ml just-boiled water, stirring.","Divide among 4 glasses or mugs, add an orange slice and cinnamon stick to each and serve hot. Serve with our Root vegetable crisps.",,,,
26,Old fashioned cocktail,Easy,Serves 1,Hands-on time 3 minutes,"This is a classic whiskey cocktail of the highest grade, calling for just 5 ingredients (plus ice). It’s a sophisticated and flavourful option for cocktail hour.",50ml bourbon whiskey,Ice cubes,30ml rye whiskey (or blended whisky),10ml sugar syrup (see tip),A few dashes of Angostura bitters,Strip of pared orange zest,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/26.jpg,"Pour the bourbon whiskey into a heavy-based tumbler or old fashioned glass with 2 ice cubes. Stir for 10 seconds, then add the rye whiskey (or blended whisky), sugar syrup, a few dashes of Angostura bitters and a few more ice cubes and keep stirring.","Add more ice to fill the glass, then twist a pared piece of orange zest over the drink to catch the oils and drop it in the glass. Enjoy!",,,,
27,Soho House picante de la casa,Easy,Serves 1,Ready in 5 minutes,"Lovers of the margarita, we have a treat for you here! Soho House have kindly shared the recipe for their picante de la casa. The picante is based on the much-loved Tommy’s margarita, but combines those ingredients with chilli and coriander – to add a little extra heat and spice. It is revelatory – and a drink you’ll be coming back to.",50ml reposado tequila,20ml agave nectar,25ml fresh lime juice,1 chilli pepper (about ¼ inch wide),10 coriander leaves with stem,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/27.jpg,Cut a small piece of chilli and press with muddler in the shaker tin.,"Hand clap the coriander (to release the aroma, place the leaves or sprig in one hand and gently smack it with the other – this warms up the garnish slightly and starts to extract the oils before you use it), and drop in.","Build (this is the process of adding one ingredient after the other and stacking them straight into the glass, no shaking or stirring necessary) the rest of the ingredients, shake and fine strain into an ice-filled rocks glass (a short tumbler used for serving spirits).",Cut the top end off the chilli pepper and place – stem upwards – on top.,,
28,"Strawberry, lime and elderflower muddle",Easy,Serves 4,5,"Introducing your new favourite summer cocktail: our strawberry, lime and elderflower muddle. It takes a matter of minutes to whip up on a hot summer’s day.","2 limes, roughly cut into chunks",4 tbsp elderflower cordial,Handful fresh mint leaves,"150g strawberries, roughly chopped",120-200ml vodka,Fizzy or tonic water to top up,Ice cubes or crushed ice to serve,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/28.jpg,"Divide the limes between 4 tall tumblers or highball glasses. Add the elderflower cordial and mint leaves then, using a wooden spoon handle or muddler stick, pound the ingredients together until they’re really juicy. Add the strawberries, then pound again, but more gently to crush them lightly.","Add the ice, pour in the vodka (choose your measure), then top up the glasses with fizzy or tonic water.",,,,
29,Classic margarita cocktail,Easy,Makes 1,Takes 5 minutes to make,Learn how to make a perfect classic margarita cocktail with our easy recipe. Plus discover how to scale up this classic Mexican tequila drink to serve a crowd.,60ml good quality tequila,45ml fresh lime juice,"30ml orange liqueur (Grand Marnier, Cointreau or Triple Sec)","1 cup crushed ice, plus extra to serve (optional)",1 lime wedge to serve,Fine sea salt to serve,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/29.jpg,"Put the crushed ice in a cocktail shaker, then pour over the tequila, lime juice and Grand Marnier. Secure the lid and shake vigorously for 1 minute.","Sweep the lime wedge around the rim of a cocktail or lowball glass to moisten the edge with a little lime juice. Dip the rim of the glass into fine salt and shake off excess. Strain the margarita into the prepared glass, filled with fresh crushed ice if you like. Serve garnished with the lime wedge.",,,,
30,Mulled chai cider,Easy,Serves 6,Hands-on time 15 min,"Cuddle up on a cosy winter’s evening with a glass of our hot mulled chai cider. Want to make it non-alcoholic? Swap the cider for apple juice, instead.",2 litres medium-dry cider (see food team’s tip),125ml apple liqueur (optional),8-10 chai teabags,2-4 tbsp soft brown sugar,Thinly pared zest 1 orange,Thinly pared zest 1 lemon,"1 apple, quartered, cored and thinly sliced",,,,,,,https://apipics.s3.amazonaws.com/coctails_api/30.jpg,"Put the cider, apple liqueur (if using), teabags, 2 tbsp of the brown sugar and half the pared orange and lemon zest in a saucepan. Bring slowly to the boil, stirring, then simmer very gently for 2 minutes.","Remove the pan from the heat and leave to cool for 15 minutes (see Make Ahead). Taste and add more sugar if you like a sweeter taste, then serve in heatproof glasses (or mugs) garnished with apple slices and the remaining zests.",,,,
31,The delicious. gin party punch,Easy,Serves 8,Ready in 10 min,"Drinks editor Susy Atkins has created the perfect punch to get the party going; give this palate-rousing gin punch a go and watch the crowds drawn in. It can easily double or triple in size to serve a larger crowd, too.",400g gin,180ml Chambord black raspberry liqueur,160ml pomegranate juice (POM Wonderful is good),4tbsp ginger sugar syrup from a jar of stem ginger,"Grated zest and juice 2 limes, plus extra wedges","320ml, or more to taste, chilled peppery ginger beer (such as Fentimans)",,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/31.jpg,"Half-fill a punch bowl with ice. Pour over the gin, Chambord, pomegranate juice, ginger syrup and lime juice, then stir. Add a few lime wedges, then top up with ginger beer (taste and add a bit more if you like).","Ladle the drink into 8 punch glasses or heavy tumblers, making sure everyone gets lots of ice. Garnish with lime zest.",,,,
32,Easy mulled wine,Easy,Makes 10 x 160ml glasses,Simmering time 5 min,"The smell of mulled wine wafting through your kitchen means that Christmas has arrived: cinnamon, cloves, orange juice and, in our recipe, a glug of brandy.",2 x 750ml bottles medium-bodied red wine,6 cloves,"2 cinnamon sticks, broken in half, plus more to garnish (optional)",100ml smooth orange juice,"1 large orange, sliced into thin half-moons, pips removed","2 lemons, sliced into thin half-moons, pips removed",Caster sugar to taste (about 4 tsp),5 tbsp brandy,,,,,,https://apipics.s3.amazonaws.com/coctails_api/32.jpg," Pour the wine into a large pan and add the spices, orange juice, citrus slices and sugar. Heat over a low-medium heat, stirring to dissolve the sugar, and bring the mulled wine to just under simmering point. Don’t let it boil.","Taste as you go, adding more sugar and spice if you want. Add the brandy at the end, then stir and ladle into thick glass tumblers, including some cloves and citrus slices in each glass. Serve with a whole cinnamon stick in each glass to stir while sipping, if you like.",,,,
